Date,MSFT,AAPL,AMZN,SP 500
2/7/14,36.56,18.56,361.08,179.68
2/10/14,36.8,18.89,360.87,180.01
2/11/14,37.17,19.14,361.79,181.98
2/12/14,37.47,19.14,349.25,182.07
2/13/14,37.61,19.44,357.2,183.01
2/14/14,37.62,19.43,357.35,184.02
2/18/14,37.42,19.5,353.65,184.24
2/19/14,37.51,19.19,347.38,183.02
2/20/14,37.75,18.97,349.8,184.1
2/21/14,37.98,18.76,346.76,183.89
2/24/14,37.69,18.84,351.78,184.91
2/25/14,37.54,18.65,358.32,184.84
2/26/14,37.47,18.48,359.8,184.85
2/27/14,37.86,18.85,360.13,185.82
2/28/14,38.31,18.79,362.1,186.29
3/3/14,37.78,18.85,359.78,184.98
3/4/14,38.41,18.97,363.9,187.58
3/5/14,38.11,19.01,372.37,187.75
3/6/14,38.15,18.96,372.16,188.18
3/7/14,37.9,18.94,372.06,188.26
3/10/14,37.82,18.96,370.53,188.16
3/11/14,38.02,19.15,368.82,187.23
3/12/14,38.27,19.16,370.64,187.28
3/13/14,37.89,18.95,371.51,185.18
3/14/14,37.7,18.74,373.74,184.66
3/17/14,38.05,18.81,375.04,186.33
3/18/14,39.55,18.98,378.77,187.66
3/19/14,39.27,18.97,373.23,186.66
3/20/14,40.33,18.88,368.97,187.75
3/21/14,40.16,19.03,360.62,186.2
3/24/14,40.5,19.26,351.85,185.43
3/25/14,40.34,19.46,354.71,186.31
3/26/14,39.79,19.28,343.41,184.97
3/27/14,39.36,19.2,338.47,184.58
3/28/14,40.3,19.17,338.29,185.49
3/31/14,40.99,19.17,336.37,187.01
4/1/14,41.42,19.34,342.99,188.25
4/2/14,41.35,19.38,341.96,188.88
4/3/14,41.01,19.24,333.62,188.63
4/4/14,39.87,18.99,323,186.4
4/7/14,39.8,18.7,317.76,184.34
4/8/14,39.82,18.69,327.07,185.1
4/9/14,40.47,18.94,331.81,187.09
4/10/14,39.36,18.7,317.11,183.16
4/11/14,39.21,18.56,311.73,181.51
4/14/14,39.18,18.63,315.91,182.94
4/15/14,39.75,18.5,316.08,184.2
4/16/14,40.4,18.54,323.68,186.13
4/17/14,40.01,18.75,324.91,186.39
4/21/14,39.94,18.97,330.87,187.04
4/22/14,39.99,18.99,329.32,187.89
